Time,Code,Name,Strategy,Reason,Buy_Price,Sell_Price,Qty,Profit_Rate(%),Hold_Min(분),Max_Price_During_Hold,Min_Price_During_Hold,Entry_PG_Amt,Max_PG_Amt_During_Hold,Exit_PG_Amt
2026-01-16 10:09:40,066570,LG전자,PROGRAM,"🎢트레일링 스탑
기준: 98,900원
최고: 4.7% / 현재: 3.3%
⚠️호가불안 (Gap: 1%)",98900.0,102000.0,12,3.13,29,103500,98800,21961931800,50894387100,48148080000
2026-01-16 10:30:10,003490,대한항공,MORNING,장 마감(Time-Cut),24568.345323741007,24650.0,139,0.33,88,25050,23700,6376993750,53857679100,53110051900
2026-01-16 10:30:12,034020,두산에너빌리티,PROGRAM,장 마감(Time-Cut),92400.0,92300.0,24,-0.11,78,92800,91200,34074440400,93482455300,93482455300
2026-01-16 10:30:13,466100,클로봇,PROGRAM,장 마감(Time-Cut),73500.0,72900.0,30,-0.82,3,73600,72400,18111208500,18125908500,16934013900
2026-01-16 11:32:17,466100,클로봇,PROGRAM,📉손절선 이탈(-2.21%),72500.0,71000.0,31,-2.07,22,72900,70900,20240550000,22610740500,21760222000
2026-01-16 13:08:38,034020,두산에너빌리티,PROGRAM,📉본전 이탈(익절 후 반납),94300.0,0.0,12,-100.0,107,96400,93700,195945875700,311683255400,0
2026-01-16 13:37:27,196170,알테오젠,PROGRAM,📉수급이탈(406억 < Max 478억),513000.0,521000.0,2,1.56,19,526000,512000,21908178000,47769742000,40599446000
2026-01-19 09:06:46,217500,러셀,RECOVERED,"🎢트레일링 스탑
기준: 3,780원
최고: 6.2% / 현재: 4.9%
⚠️호가불안 (Gap: 1%)",3780.0,3970.0,298,5.03,2,4015,3705,723906105,724849920,441237710
2026-01-19 09:23:52,454910,두산로보틱스,PROGRAM,📉수급이탈(186억 < Max 219억),106600.0,108600.0,11,1.88,5,109600,105900,20082267400,21914673000,18650095200
2026-01-19 09:26:36,005380,현대차,MORNING,📉손절선 이탈(-2.01%),440187.5,438500.0,8,-0.38,25,449000,427000,13253020000,59311122500,56971674000
2026-01-19 09:46:49,005380,현대차,PROGRAM,장 마감(Time-Cut),441500.0,440500.0,10,-0.23,10,443000,439500,49501628000,50147197500,48696394000
2026-01-19 09:46:51,454910,두산로보틱스,PROGRAM,장 마감(Time-Cut),110500.0,109100.0,20,-1.27,2,110900,108400,22386637000,22468229100,20663103600
2026-01-19 12:41:12,454910,두산로보틱스,PROGRAM,📉수급이탈(294억 < Max 347억),107900.0,106900.0,20,-0.93,17,107900,106100,34720277800,34720385700,29412145300
2026-01-19 12:54:22,466100,클로봇,PROGRAM,장 마감(Time-Cut),74950.0,74900.0,30,-0.07,31,75100,74300,25863820950,27973575000,27928112800
2026-01-19 12:54:24,005380,현대차,PROGRAM,장 마감(Time-Cut),476500.0,471500.0,4,-1.05,31,480000,471000,57890461500,69694560000,66168895500
2026-01-19 12:54:25,454910,두산로보틱스,PROGRAM,장 마감(Time-Cut),106700.0,106200.0,21,-0.47,3,106800,106100,28671250300,28699296000,27768432600
2026-01-20 09:10:18,321370,센서뷰,MORNING,"🎢트레일링 스탑
기준: 3,285원
최고: 10.0% / 현재: 8.1%
⚠️호가불안 (Gap: 1%)",3285.0,3550.0,229,8.07,5,3615,3280,239962680,441402410,410695950
2026-01-20 09:12:37,006400,삼성SDI,MORNING,📉본전 이탈(익절 후 반납),328500.0,329000.0,2,0.15,9,339500,328000,5112445500,26332842000,21808423000
2026-01-20 09:19:38,015760,한국전력,PROGRAM,📉손절선 이탈(-2.18%),59500.0,58500.0,25,-1.68,1,59600,58200,20078632000,21632892800,20686243500
2026-01-20 10:03:27,462350,이노스페이스,MORNING,📉손절선 이탈(-2.14%),23350.0,22850.0,64,-2.14,5,23550,22850,3562229300,4573339350,2113282250
2026-01-20 10:18:33,006400,삼성SDI,PROGRAM,📉손절선 이탈(-2.11%),332500.0,326000.0,4,-1.95,20,335000,325500,31670292500,41428110000,39474362000
2026-01-21 09:56:49,005380,현대차,PROGRAM,📉수급이탈(209억 < Max 251억),507000.0,501000.0,2,-1.18,3,510000,501000,24150438000,25108970000,20881179000
2026-01-21 13:53:20,204320,HL만도,PROGRAM,"🎢트레일링 스탑
기준: 69,000원
최고: 6.8% / 현재: 5.7%
⚠️호가불안 (Gap: 1%)",69000.0,72900.0,11,5.65,11,73700,68600,32523357000,36895900500,32517555300
2026-01-21 15:15:09,257720,실리콘투,PROGRAM,장 마감(Time-Cut),47800.0,47650.0,31,-0.31,63,48000,47250,20514851800,22657098500,22629842700
2026-01-22 09:25:05,006400,삼성SDI,PROGRAM,📉수급이탈(206억 < Max 249억),349500.0,348500.0,4,-0.29,2,351500,348000,20311542000,24892000000,20639912500
2026-01-22 09:31:49,000150,두산,PROGRAM,📉손절선 이탈(-2.19%),914000.0,894000.0,1,-2.19,12,914000,894000,25228228000,30117399000,29846190000
2026-01-22 09:57:15,004020,현대제철,MORNING,"🎢트레일링 스탑
기준: 34,300원
최고: 5.4% / 현재: 3.4%
이격정상 (Gap: 2%)",34300.0,35450.0,22,3.35,45,36150,33750,3425506700,17327056500,16429763350
2026-01-22 10:09:36,086520,에코프로,PROGRAM,📉수급이탈(165억 < Max 201억),103700.0,104400.0,14,0.68,3,104900,103700,20037847300,20113184000,16507206000
2026-01-22 10:16:08,278470,에이피알,PROGRAM,"🎢트레일링 스탑
기준: 274,500원
최고: 6.7% / 현재: 4.7%
이격정상 (Gap: 2%)",274500.0,288000.0,3,4.92,18,293000,272500,35799466500,47741540000,47643552000
2026-01-22 12:37:47,001440,대한전선,PROGRAM,📉수급이탈(214억 < Max 254억),29350.0,29000.0,51,-1.19,6,29650,28975,25375012100,25375012100,21387268000
2026-01-22 15:15:12,066970,엘앤에프,PROGRAM,장 마감(Time-Cut),126300.0,0.0,11,-100.0,34,126900,124900,30313263000,32099875000,0
2026-01-23 09:06:51,005490,POSCO홀딩스,MORNING,📉손절선 이탈(-2.06%),389000.0,381000.0,3,-2.06,2,389500,381000,5563867000,5563867000,2918079000
2026-01-23 09:22:49,124500,아이티센글로벌,MORNING,📉손절선 이탈(-2.06%),36450.0,35750.0,40,-1.92,13,37150,35700,1867078350,2554991200,2396680000
2026-01-23 09:55:08,042660,한화오션,PROGRAM,📉손절선 이탈(-2.05%),146200.0,143200.0,10,-2.05,29,148800,143200,21025460600,39544741600,36573566400
2026-01-23 10:35:24,064400,LG씨엔에스,PROGRAM,📉수급이탈(305억 < Max 370억),74100.0,75200.0,10,1.48,21,76500,73700,20461751700,36952177500,30383582400
2026-01-23 11:14:39,035420,NAVER,PROGRAM,📉본전 이탈(익절 후 반납),262500.0,263000.0,3,0.19,59,269000,262000,56568225000,107420518000,107245351000
2026-01-23 13:12:30,323410,카카오뱅크,PROGRAM,📉손절선 이탈(-2.17%),23050.0,22550.0,64,-2.17,81,23150,22550,20866957550,24313311700,23938538800
2026-01-23 13:13:07,277810,레인보우로보틱스,PROGRAM,"🎢트레일링 스탑
기준: 545,000원
최고: 5.7% / 현재: 3.7%
이격정상 (Gap: 2%)",545000.0,565000.0,1,3.67,9,576000,544000,26709905000,34835800000,32427610000
2026-01-23 13:52:36,000250,삼천당제약,PROGRAM,"🎢트레일링 스탑
기준: 358,500원
최고: 4.6% / 현재: 3.1%
⚠️호가불안 (Gap: 1%)",358500.0,369500.0,2,3.07,134,375000,352500,25400442000,35139660000,30937865500
2026-01-23 14:56:44,006800,미래에셋증권,PROGRAM,📉수급이탈(173억 < Max 207억),34200.0,34800.0,22,1.75,29,34950,34150,20708510400,20708510400,17294695200
2026-01-26 09:18:25,028050,삼성E&A,MORNING,📉본전 이탈(익절 후 반납),29650.0,29650.0,25,0.0,13,30550,29600,7113005350,17285518900,17115551450
2026-01-26 09:27:09,298380,에이비엘바이오,MORNING,"🎢트레일링 스탑
기준: 210,000원
최고: 8.6% / 현재: 6.4%
이격정상 (Gap: 2%)",210000.0,224500.0,4,6.9,20,228000,209500,3991260000,36778224000,35129086500
2026-01-26 09:41:26,277810,레인보우로보틱스,PROGRAM,📉수급이탈(229억 < Max 271억),606000.0,619000.0,1,2.15,9,628000,598000,15754182000,27140949000,22924665000
2026-01-26 09:46:20,247540,에코프로비엠,PROGRAM,📉손절선 이탈(-2.27%),193500.0,189200.0,7,-2.22,7,193500,189100,45094594500,49952529600,48190375200
2026-01-26 10:01:00,108490,로보티즈,PROGRAM,"🎢트레일링 스탑
기준: 274,500원
최고: 3.8% / 현재: 1.8%
⚠️호가불안 (Gap: 1%)",274500.0,279000.0,3,1.64,15,285000,272000,22094505000,31526130000,28638792000
2026-01-26 10:13:40,086520,에코프로,PROGRAM,"🎢트레일링 스탑
기준: 115,600원
최고: 4.0% / 현재: 2.8%
⚠️호가불안 (Gap: 1%)",115600.0,118850.0,6,2.81,18,120200,115500,17173651600,57341925900,56739108850
2026-01-26 10:53:12,141080,리가켐바이오,PROGRAM,📉손절선 이탈(-2.10%),190100.0,186000.0,7,-2.16,3,190100,186100,21562662800,21562662800,20665902000
2026-01-26 10:54:56,454910,두산로보틱스,PROGRAM,📉수급이탈(270억 < Max 318억),129200.0,126900.0,11,-1.78,12,130500,127400,28595836000,31805982000,26899246800
2026-01-26 11:00:42,058610,에스피지,PROGRAM,"🎢트레일링 스탑
기준: 119,800원
최고: 4.4% / 현재: 2.8%
⚠️호가불안 (Gap: 1%)",119800.0,122900.0,6,2.59,16,125100,119200,26199421400,28516169700,25821412900
2026-01-26 11:04:45,491000,리브스메드,PROGRAM,📉손절선 이탈(-2.38%),80000.0,77900.0,18,-2.62,21,80200,78100,16463600000,18043200000,17243087100
2026-01-26 11:30:50,098460,고영,PROGRAM,📉수급이탈(162억 < Max 191억),31700.0,31550.0,47,-0.47,3,31800,31550,19013026000,19077908250,16196476450
2026-01-26 15:15:12,347850,디앤디파마텍,PROGRAM,장 마감(Time-Cut),95500.0,96800.0,15,1.36,80,97000,95000,27520903500,32916057900,32726821600
2026-01-27 09:07:04,017670,SK텔레콤,MORNING,📉손절선 이탈(-1.08%),65000.0,64300.0,22,-1.08,2,65000,64300,3954730000,5572331400,5472444400
2026-01-27 09:20:48,035420,NAVER,PROGRAM,📉수급이탈(305억 < Max 381억),284500.0,283500.0,5,-0.35,1,285250,283000,33988361500,38051775000,30496095000
2026-01-27 09:33:51,108490,로보티즈,PROGRAM,📉손절선 이탈(-2.01%),299000.0,292500.0,4,-2.17,3,299500,293000,15398799000,15424549500,13771192500
2026-01-27 09:49:04,089030,테크윙,MORNING,📉본전 이탈(익절 후 반납),40300.0,40350.0,18,0.12,36,41250,40150,1016527200,2264073600,354111600
2026-01-27 09:53:04,067310,하나마이크론,PROGRAM,📉손절선 이탈(-2.18%),32050.0,31400.0,46,-2.03,2,32400,31350,15324290850,15491638800,13762306000
2026-01-27 10:28:35,086520,에코프로,PROGRAM,📉수급이탈(540억 < Max 640억),136500.0,136000.0,10,-0.37,13,137650,135300,59860300500,64036569450,53954872000
2026-01-27 11:12:31,010120,LS ELECTRIC,PROGRAM,"🎢트레일링 스탑
기준: 537,000원
최고: 3.5% / 현재: 1.5%
이격정상 (Gap: 2%)",537000.0,546000.0,1,1.68,9,556000,533000,16085298000,35951235000,35336028000
2026-01-27 11:37:31,097230,HJ중공업,PROGRAM,"🎢트레일링 스탑
기준: 27,050원
최고: 7.4% / 현재: 5.4%
이격정상 (Gap: 2%)",27050.0,28450.0,27,5.18,55,29050,26900,15647586450,30819779000,29570844650
2026-01-27 12:39:10,000660,SK하이닉스,PROGRAM,💰소액/잔량(1주) 2% 목표달성 전량익절,776000.0,792500.0,1,2.13,69,792000,774000,135348368000,220357368000,220338775000
2026-01-28 09:09:36,006400,삼성SDI,MORNING,📉손절선 이탈(-1.11%),407000.0,403000.0,3,-0.98,2,411000,402500,3457872000,7060569000,3309436000
2026-01-28 09:16:29,222800,심텍,MORNING,📉손절선 이탈(-1.02%),59000.0,58400.0,25,-1.02,1,59500,58400,7146375000,8263964800,7655714400
2026-01-28 09:18:51,007660,이수페타시스,PROGRAM,📉수급이탈(158억 < Max 230억),125700.0,124800.0,11,-0.72,7,127800,124900,18041218200,22955308200,15761990400
2026-01-28 09:28:18,086520,에코프로,PROGRAM,📉수급이탈(177억 < Max 282억),150900.0,152400.0,5,0.99,8,155200,150400,24006530100,28235512250,17668798800
2026-01-28 09:36:13,373220,LG에너지솔루션,PROGRAM,📉손절선 이탈(-2.00%),449000.0,439500.0,3,-2.12,17,454500,440000,18265320000,26805555000,24760111500
2026-01-28 09:47:08,083650,비에이치아이,PROGRAM,📉손절선 이탈(-2.13%),75100.0,73700.0,19,-1.86,9,75300,73500,18003347500,19909768500,19790071400
2026-01-28 10:06:55,108490,로보티즈,PROGRAM,📉본전 이탈(익절 후 반납),304000.0,302500.0,2,-0.49,23,312000,301000,18140592000,27236447000,25701307500
2026-01-28 10:26:06,058610,에스피지,PROGRAM,📉손절선 이탈(-2.10%),152300.0,149100.0,9,-2.1,2,152300,149100,18334940100,18334940100,15885710400
2026-01-28 10:27:27,466100,클로봇,PROGRAM,📉손절선 이탈(-2.24%),76000.0,74500.0,19,-1.97,26,76000,74300,18503568000,20275374000,19447554500
2026-01-28 10:52:33,323280,태성,PROGRAM,📉본전 이탈(익절 후 반납),69800.0,69800.0,11,0.0,17,71200,69100,18846837600,20687341000,19325177000
2026-01-28 11:29:06,196170,알테오젠,PROGRAM,"🎢트레일링 스탑
기준: 421,500원
최고: 4.9% / 현재: 2.8%
이격정상 (Gap: 2%)",421500.0,434500.0,2,3.08,86,442000,418500,31064971500,77605918000,74025330500
2026-01-28 11:31:57,068270,셀트리온,PROGRAM,📉본전 이탈(익절 후 반납),218000.0,218000.0,3,0.0,41,222500,216500,23084238000,34024608000,29198048000
2026-01-28 11:32:57,087010,펩트론,PROGRAM,"🎢트레일링 스탑
기준: 305,500원
최고: 3.9% / 현재: 1.6%
이격정상 (Gap: 2%)",305500.0,310500.0,2,1.64,53,317500,305500,18585398000,21495770000,20852559000
2026-01-28 11:40:07,141080,리가켐바이오,PROGRAM,📉손절선 이탈(-2.20%),205000.0,201000.0,7,-1.95,36,205000,200500,18020935000,18832593000,18805560000
2026-01-28 12:32:21,403870,HPSP,PROGRAM,📉본전 이탈(익절 후 반납),42000.0,41900.0,17,-0.24,17,42850,41850,19939080000,21240961200,18461768500
2026-01-28 13:03:01,450080,에코프로머티,PROGRAM,📉손절선 이탈(-2.08%),76800.0,75200.0,19,-2.08,4,76800,75200,19621632000,19621632000,17076340800
2026-01-28 14:47:33,064350,현대로템,PROGRAM,📉손절선 이탈(-2.21%),226000.0,221000.0,6,-2.21,12,226500,221000,18790544000,20265300000,19765135000
2026-01-28 14:49:04,010120,LS ELECTRIC,PROGRAM,장 마감(Time-Cut),571000.0,571000.0,2,0.0,16,581000,571000,20975685000,28854616000,28154868000
2026-01-28 14:49:15,005490,POSCO홀딩스,PROGRAM,장 마감(Time-Cut),381000.0,382000.0,3,0.26,1,382000,379750,19402044000,19402044000,18480014000
